,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Player
0,2017-18,20.0,ATL,NBA,PF,74.0,26.0,1785.0,8.6,14.9,0.5760000000000001,0.4,1.3,0.34,8.2,13.6,0.598,3.6,5.1,0.715,4.8,10.0,14.8,2.7,1.3,2.2,2.9,5.9,21.3,117.0,108.0,John Collins
1,2018-19,21.0,ATL,NBA,PF,61.0,59.0,1829.0,11.7,21.0,0.56,1.4,4.0,0.348,10.4,17.0,0.609,5.1,6.7,0.763,5.5,9.5,15.0,3.1,0.6,1.0,3.0,5.0,30.0,122.0,115.0,John Collins
2,2019-20,22.0,ATL,NBA,PF,41.0,41.0,1363.0,12.1,20.7,0.583,2.0,5.0,0.401,10.1,15.7,0.642,4.1,5.1,0.8,4.0,10.3,14.2,2.1,1.1,2.3,2.6,4.7,30.3,124.0,112.0,John Collins
3,2020-21,23.0,ATL,NBA,PF,36.0,36.0,1104.0,11.2,20.8,0.536,2.2,5.7,0.38799999999999996,8.9,15.1,0.5920000000000001,4.1,4.8,0.853,3.4,8.8,12.1,2.3,0.7,1.6,2.1,5.2,28.7,123.0,114.0,John Collins
0,2018-19,20.0,ATL,NBA,SG,75.0,59.0,2048.0,6.2,14.8,0.419,3.1,8.0,0.385,3.1,6.9,0.457,0.9,1.3,0.732,1.4,4.2,5.5,4.8,1.5,0.6,2.5,3.5,16.4,106.0,116.0,Kevin Huerter
1,2019-20,21.0,ATL,NBA,SG,56.0,48.0,1760.0,6.7,16.1,0.413,3.4,8.8,0.38,3.3,7.3,0.45299999999999996,1.4,1.7,0.828,0.9,5.1,6.0,5.6,1.4,0.7,2.3,3.7,18.1,107.0,116.0,Kevin Huerter
2,2020-21,22.0,ATL,NBA,SG,36.0,25.0,1157.0,7.0,16.4,0.426,3.3,8.9,0.365,3.7,7.4,0.5,1.2,1.4,0.8240000000000001,1.1,4.4,5.5,5.6,1.9,0.3,2.0,3.7,18.4,112.0,115.0,Kevin Huerter
0,2013-14,22.0,IND,NBA,SF,28.0,0.0,226.0,3.9,9.2,0.425,1.6,5.3,0.304,2.3,3.9,0.588,1.4,1.6,0.857,2.1,7.3,9.4,2.8,1.1,0.5,3.0,4.4,10.8,97.0,101.0,Solomon Hill
1,2014-15,23.0,IND,NBA,SF,82.0,78.0,2381.0,5.4,13.7,0.396,1.5,4.5,0.327,4.0,9.2,0.43,3.4,4.2,0.8240000000000001,1.5,5.3,6.8,4.0,1.4,0.4,2.5,3.8,15.8,101.0,105.0,Solomon Hill
2,2015-16,24.0,IND,NBA,SF,59.0,3.0,866.0,5.3,11.9,0.447,1.4,4.2,0.324,4.0,7.7,0.515,2.1,2.4,0.857,2.2,7.3,9.5,3.3,2.1,0.6,1.9,3.9,14.1,110.0,103.0,Solomon Hill
3,2016-17,25.0,NOP,NBA,SF,80.0,71.0,2374.0,3.8,9.9,0.38299999999999995,1.9,5.6,0.348,1.8,4.3,0.428,2.1,2.6,0.805,1.1,5.3,6.3,2.9,1.5,0.7,1.7,3.8,11.6,103.0,109.0,Solomon Hill
4,2017-18,26.0,NOP,NBA,SF,12.0,1.0,187.0,2.8,10.5,0.268,1.0,5.4,0.19,1.8,5.1,0.35,0.8,1.5,0.5,2.3,6.9,9.2,5.6,1.8,0.3,2.3,5.6,7.4,84.0,109.0,Solomon Hill
5,2018-19,27.0,NOP,NBA,SF,44.0,15.0,878.0,3.6,9.4,0.382,1.7,5.3,0.317,1.9,4.1,0.46799999999999997,1.2,1.7,0.7190000000000001,1.8,5.2,7.0,2.9,1.2,0.5,1.6,4.2,10.1,103.0,115.0,Solomon Hill
6,2019-20,28.0,TOT,NBA,PF,59.0,4.0,1088.0,4.8,12.0,0.396,2.7,7.4,0.368,2.0,4.6,0.439,1.7,2.3,0.741,1.3,5.9,7.1,4.5,1.9,0.5,2.2,3.7,14.0,106.0,111.0,Solomon Hill
7,2019-20,28.0,MEM,NBA,PF,48.0,3.0,901.0,5.0,12.1,0.41200000000000003,2.9,7.6,0.381,2.1,4.5,0.465,1.3,2.0,0.684,1.2,6.2,7.5,4.9,1.6,0.4,2.1,3.8,14.2,109.0,112.0,Solomon Hill
8,2019-20,28.0,MIA,NBA,PF,11.0,1.0,187.0,3.7,11.7,0.311,1.8,6.3,0.292,1.8,5.5,0.33299999999999996,3.7,4.2,0.875,1.3,4.2,5.5,2.6,3.1,1.3,2.9,3.1,12.8,91.0,107.0,Solomon Hill
9,2020-21,29.0,ATL,NBA,PF,36.0,1.0,686.0,3.8,10.6,0.35600000000000004,2.5,7.8,0.318,1.3,2.8,0.462,1.1,1.2,0.882,1.3,4.6,5.8,2.4,1.8,0.4,1.5,4.1,11.1,103.0,115.0,Solomon Hill
0,2018-19,20.0,ATL,NBA,PG,81.0,81.0,2503.0,9.7,23.2,0.418,2.9,8.9,0.324,6.8,14.3,0.47700000000000004,6.3,7.6,0.8290000000000001,1.2,4.4,5.6,12.1,1.3,0.3,5.7,2.6,28.6,107.0,117.0,Trae Young
1,2019-20,21.0,ATL,NBA,PG,60.0,60.0,2120.0,12.0,27.5,0.43700000000000006,4.5,12.5,0.361,7.5,15.0,0.501,10.6,12.3,0.86,0.7,4.9,5.6,12.3,1.4,0.2,6.4,2.3,39.1,114.0,117.0,Trae Young
2,2020-21,22.0,ATL,NBA,PG,34.0,34.0,1182.0,10.8,25.2,0.43,3.5,9.3,0.37799999999999995,7.3,15.9,0.46,11.9,13.6,0.878,1.0,4.8,5.9,13.3,1.2,0.3,6.2,2.9,37.1,118.0,116.0,Trae Young
0,2014-15,20.0,HOU,NBA,C,12.0,0.0,90.0,7.7,16.0,0.483,0.0,0.0,,7.7,16.0,0.483,2.2,12.7,0.174,5.5,14.4,19.9,1.1,0.6,5.0,2.8,7.7,17.7,84.0,97.0,Clint Capela
1,2015-16,21.0,HOU,NBA,C,77.0,35.0,1471.0,7.7,13.3,0.5820000000000001,0.0,0.0,0.0,7.7,13.2,0.583,2.7,7.1,0.379,6.5,10.0,16.5,1.6,2.0,3.1,2.0,6.4,18.1,114.0,104.0,Clint Capela
2,2016-17,22.0,HOU,NBA,C,65.0,59.0,1551.0,11.2,17.4,0.643,0.0,0.0,,11.2,17.4,0.643,2.9,5.5,0.531,5.5,10.8,16.3,1.9,1.1,2.4,2.7,5.5,25.3,122.0,106.0,Clint Capela
3,2017-18,23.0,HOU,NBA,C,74.0,74.0,2034.0,10.7,16.4,0.652,0.0,0.0,0.0,10.7,16.3,0.653,3.5,6.2,0.56,5.8,13.6,19.4,1.6,1.4,3.3,2.5,4.5,24.8,126.0,101.0,Clint Capela
4,2018-19,24.0,HOU,NBA,C,67.0,67.0,2249.0,10.3,16.0,0.648,0.0,0.0,,10.3,16.0,0.648,3.6,5.7,0.636,6.5,12.0,18.5,2.1,1.0,2.2,2.1,3.7,24.3,133.0,108.0,Clint Capela
5,2019-20,25.0,HOU,NBA,C,39.0,39.0,1279.0,8.8,14.0,0.629,0.0,0.0,,8.8,14.0,0.629,2.0,3.8,0.529,6.1,13.4,19.4,1.7,1.2,2.6,2.3,3.7,19.6,124.0,105.0,Clint Capela
6,2020-21,26.0,ATL,NBA,C,32.0,32.0,949.0,10.7,18.2,0.589,0.0,0.0,,10.7,18.2,0.589,2.8,5.2,0.55,8.2,15.2,23.3,1.5,1.2,3.7,2.4,3.8,24.3,122.0,106.0,Clint Capela
0,2019-20,20.0,ATL,NBA,SF,58.0,34.0,1551.0,6.4,16.6,0.384,2.5,7.5,0.332,3.9,9.1,0.428,3.0,3.8,0.802,1.1,5.4,6.5,2.6,1.9,0.8,2.9,4.0,18.3,95.0,115.0,Cam Reddish
1,2020-21,21.0,ATL,NBA,SF,26.0,21.0,750.0,6.3,17.2,0.365,2.2,8.2,0.262,4.1,8.9,0.46,4.4,5.3,0.8170000000000001,1.4,5.3,6.8,2.3,2.2,0.6,2.2,4.4,19.0,100.0,114.0,Cam Reddish
0,2008-09,20.0,NYK,NBA,SG,28.0,2.0,412.0,6.7,15.1,0.44799999999999995,3.9,8.7,0.444,2.9,6.4,0.45299999999999996,3.1,3.3,0.963,1.6,5.1,6.6,1.8,1.7,0.5,1.8,5.8,20.5,120.0,111.0,Danilo Gallinari
1,2009-10,21.0,NYK,NBA,SF,81.0,74.0,2747.0,7.3,17.2,0.423,3.5,9.1,0.381,3.8,8.2,0.469,4.7,5.7,0.818,1.2,6.2,7.4,2.5,1.4,1.1,2.0,3.6,22.7,113.0,112.0,Danilo Gallinari
2,2010-11,22.0,TOT,NBA,"PF,SF",62.0,60.0,2104.0,6.3,15.3,0.414,2.5,7.0,0.35200000000000004,3.9,8.3,0.467,8.0,9.3,0.862,1.4,5.9,7.3,2.5,1.2,0.6,2.0,3.4,23.2,120.0,111.0,Danilo Gallinari
3,2010-11,22.0,NYK,NBA,PF,48.0,48.0,1671.0,6.3,15.3,0.415,2.5,7.2,0.34700000000000003,3.8,8.1,0.474,7.8,8.7,0.893,1.4,5.4,6.9,2.5,1.1,0.5,1.7,3.5,23.0,122.0,112.0,Danilo Gallinari
4,2010-11,22.0,DEN,NBA,SF,14.0,12.0,433.0,6.3,15.2,0.41200000000000003,2.3,6.3,0.37,3.9,8.9,0.442,9.0,11.7,0.772,1.3,7.5,8.8,2.6,1.5,1.0,2.9,3.1,23.9,113.0,107.0,Danilo Gallinari
5,2011-12,23.0,DEN,NBA,SF,43.0,40.0,1351.0,7.3,17.6,0.414,2.3,6.9,0.32799999999999996,5.0,10.7,0.47,6.9,7.9,0.871,1.1,6.6,7.6,4.4,1.6,0.9,2.6,3.2,23.7,114.0,107.0,Danilo Gallinari
6,2012-13,24.0,DEN,NBA,SF,71.0,71.0,2309.0,8.0,19.0,0.418,3.0,7.9,0.373,5.0,11.1,0.45,6.3,7.6,0.8220000000000001,1.4,6.6,8.0,3.8,1.4,0.8,2.4,2.8,25.1,116.0,107.0,Danilo Gallinari
7,2014-15,26.0,DEN,NBA,SF,59.0,27.0,1426.0,8.0,19.9,0.401,3.7,10.5,0.355,4.2,9.4,0.45299999999999996,6.0,6.7,0.895,1.1,6.5,7.6,2.9,1.6,0.7,2.0,3.3,25.7,114.0,109.0,Danilo Gallinari
8,2015-16,27.0,DEN,NBA,SF,53.0,53.0,1839.0,7.8,19.1,0.41,2.4,6.5,0.364,5.5,12.6,0.434,10.2,11.8,0.868,1.4,6.2,7.7,3.7,1.1,0.5,2.1,2.4,28.2,120.0,111.0,Danilo Gallinari
9,2016-17,28.0,DEN,NBA,SF,63.0,63.0,2134.0,7.7,17.2,0.447,2.9,7.4,0.389,4.8,9.7,0.491,8.0,8.9,0.902,0.9,6.5,7.4,3.1,0.9,0.3,1.9,2.1,26.2,126.0,115.0,Danilo Gallinari
10,2017-18,29.0,LAC,NBA,SF,21.0,21.0,671.0,7.4,18.6,0.39799999999999996,2.6,8.0,0.324,4.8,10.5,0.455,5.9,6.3,0.9309999999999999,0.7,6.7,7.3,3.0,0.9,0.7,1.9,2.2,23.3,111.0,112.0,Danilo Gallinari
11,2018-19,30.0,LAC,NBA,SF,68.0,68.0,2059.0,9.4,20.3,0.46299999999999997,3.7,8.5,0.433,5.7,11.7,0.484,8.4,9.3,0.904,1.2,8.3,9.6,4.1,1.1,0.5,2.3,3.0,30.9,125.0,112.0,Danilo Gallinari
12,2019-20,31.0,OKC,NBA,PF,62.0,62.0,1834.0,9.5,21.6,0.43799999999999994,4.7,11.6,0.405,4.8,10.0,0.47600000000000003,7.0,7.9,0.893,0.9,7.6,8.5,3.2,1.1,0.1,2.0,2.0,30.7,120.0,111.0,Danilo Gallinari
13,2020-21,32.0,ATL,NBA,PF,24.0,2.0,525.0,7.5,19.3,0.391,4.4,11.3,0.38799999999999996,3.2,8.0,0.395,6.6,7.1,0.934,0.5,7.1,7.5,3.4,1.2,0.3,2.5,4.3,26.1,115.0,115.0,Danilo Gallinari
0,2018-19,23.0,DEN,NBA,PG,16.0,0.0,57.0,5.2,19.8,0.261,1.7,5.2,0.33299999999999996,3.4,14.6,0.235,7.8,9.5,0.818,0.9,1.7,2.6,12.1,0.0,0.0,2.6,6.0,19.8,103.0,117.0,Brandon Goodwin
1,2019-20,24.0,ATL,NBA,PG,34.0,1.0,430.0,8.2,20.6,0.4,2.8,9.4,0.299,5.4,11.2,0.485,3.0,3.3,0.9329999999999999,1.2,6.6,7.8,5.5,1.3,0.4,3.1,4.7,22.3,101.0,116.0,Brandon Goodwin
2,2020-21,25.0,ATL,NBA,PG,24.0,0.0,289.0,5.9,17.9,0.33,2.5,9.0,0.28300000000000003,3.4,9.0,0.377,2.9,4.1,0.708,0.5,4.1,4.6,7.3,1.7,0.0,2.2,3.9,17.3,99.0,116.0,Brandon Goodwin
0,2013-14,22.0,CHI,NBA,SG,77.0,12.0,1231.0,5.6,14.5,0.384,2.5,7.7,0.32,3.1,6.8,0.456,1.3,1.8,0.7559999999999999,0.8,4.5,5.4,2.9,1.3,0.6,1.9,3.6,15.0,97.0,104.0,Tony Snell
1,2014-15,23.0,CHI,NBA,SF,72.0,22.0,1412.0,5.8,13.6,0.429,2.7,7.2,0.371,3.2,6.4,0.494,1.6,2.0,0.8,1.1,5.3,6.4,2.3,1.2,0.4,1.8,3.2,15.9,108.0,107.0,Tony Snell
2,2015-16,24.0,CHI,NBA,SF,64.0,33.0,1301.0,4.9,13.1,0.37200000000000005,2.2,6.0,0.361,2.7,7.1,0.38,1.2,1.3,0.909,0.7,6.9,7.7,2.4,0.6,0.7,2.0,3.9,13.0,93.0,109.0,Tony Snell
3,2016-17,25.0,MIL,NBA,SG,80.0,80.0,2336.0,5.3,11.8,0.455,3.1,7.7,0.406,2.2,4.0,0.5479999999999999,1.0,1.3,0.81,0.5,4.9,5.4,2.1,1.2,0.3,1.2,2.7,14.8,114.0,113.0,Tony Snell
4,2017-18,26.0,MIL,NBA,SG,75.0,59.0,2053.0,4.5,10.3,0.435,2.6,6.5,0.40299999999999997,1.9,3.8,0.49,0.9,1.2,0.792,0.2,3.2,3.4,2.4,1.1,0.7,0.9,2.8,12.5,113.0,114.0,Tony Snell
5,2018-19,27.0,MIL,NBA,SF,74.0,12.0,1304.0,5.8,12.9,0.452,2.9,7.3,0.397,2.9,5.6,0.522,1.3,1.5,0.8809999999999999,1.0,4.6,5.6,2.4,0.9,0.6,0.8,3.2,15.8,119.0,109.0,Tony Snell
6,2019-20,28.0,DET,NBA,SF,59.0,57.0,1641.0,5.1,11.5,0.445,3.1,7.6,0.402,2.0,3.8,0.531,1.0,1.0,1.0,0.3,3.1,3.3,3.8,1.0,0.4,0.9,3.0,14.2,121.0,117.0,Tony Snell
7,2020-21,29.0,ATL,NBA,SG,23.0,6.0,420.0,4.8,9.9,0.48200000000000004,4.1,7.2,0.565,0.7,2.7,0.261,0.0,0.0,,1.3,4.2,5.5,3.1,0.3,0.8,1.5,3.6,13.6,128.0,118.0,Tony Snell
0,2006-07,20.0,BOS,NBA,PG,78.0,25.0,1831.0,5.4,12.8,0.418,0.2,0.8,0.207,5.2,12.0,0.43200000000000005,3.4,5.2,0.647,2.1,6.2,8.3,8.5,3.6,0.2,3.9,5.2,14.3,97.0,103.0,Rajon Rondo
1,2007-08,21.0,BOS,NBA,PG,77.0,77.0,2306.0,8.0,16.3,0.49200000000000005,0.1,0.4,0.263,7.9,15.9,0.499,2.4,4.0,0.611,1.8,5.6,7.4,9.0,3.0,0.3,3.4,4.3,18.6,107.0,98.0,Rajon Rondo
2,2008-09,22.0,BOS,NBA,PG,80.0,80.0,2642.0,7.7,15.3,0.505,0.3,1.0,0.313,7.4,14.3,0.518,3.5,5.4,0.642,2.0,6.4,8.4,13.2,3.0,0.2,4.2,3.9,19.2,114.0,101.0,Rajon Rondo
3,2009-10,23.0,BOS,NBA,PG,81.0,81.0,2963.0,8.1,16.0,0.508,0.3,1.4,0.213,7.8,14.6,0.536,3.1,5.0,0.621,1.8,4.6,6.4,14.0,3.3,0.2,4.3,3.5,19.6,111.0,103.0,Rajon Rondo
4,2010-11,24.0,BOS,NBA,PG,68.0,68.0,2527.0,6.7,14.1,0.475,0.2,0.9,0.233,6.5,13.2,0.491,1.6,2.8,0.568,1.8,4.4,6.2,16.0,3.2,0.2,4.9,2.5,15.2,104.0,100.0,Rajon Rondo
5,2011-12,25.0,BOS,NBA,PG,53.0,53.0,1957.0,6.9,15.5,0.44799999999999995,0.3,1.1,0.23800000000000002,6.7,14.4,0.46399999999999997,2.9,4.9,0.597,1.7,5.3,7.0,16.8,2.6,0.1,5.2,2.7,17.1,101.0,99.0,Rajon Rondo
6,2012-13,26.0,BOS,NBA,PG,38.0,38.0,1423.0,8.3,17.1,0.484,0.4,1.8,0.24,7.8,15.3,0.513,2.2,3.4,0.645,1.6,6.2,7.8,15.4,2.6,0.3,5.4,3.5,19.2,103.0,103.0,Rajon Rondo
7,2013-14,27.0,BOS,NBA,PG,30.0,30.0,998.0,7.3,18.0,0.40299999999999997,1.3,4.6,0.289,5.9,13.4,0.442,2.2,3.5,0.627,1.1,7.3,8.5,15.2,2.1,0.1,5.1,3.4,18.0,99.0,107.0,Rajon Rondo
8,2014-15,28.0,TOT,NBA,PG,68.0,68.0,2018.0,6.9,16.1,0.426,0.7,2.1,0.314,6.2,13.9,0.444,0.8,1.9,0.397,1.8,7.5,9.3,13.4,2.3,0.2,5.2,3.8,15.2,95.0,105.0,Rajon Rondo
9,2014-15,28.0,BOS,NBA,PG,22.0,22.0,699.0,5.8,14.3,0.405,0.6,2.3,0.25,5.2,12.0,0.435,0.9,2.6,0.33299999999999996,1.8,10.0,11.8,17.0,2.7,0.2,5.4,3.0,13.0,95.0,101.0,Rajon Rondo
10,2014-15,28.0,DAL,NBA,PG,46.0,46.0,1319.0,7.4,17.0,0.436,0.7,2.1,0.35200000000000004,6.7,15.0,0.44799999999999995,0.7,1.6,0.452,1.8,6.1,8.0,11.5,2.1,0.2,5.2,4.2,16.3,94.0,107.0,Rajon Rondo
11,2015-16,29.0,SAC,NBA,PG,72.0,72.0,2537.0,6.7,14.8,0.45399999999999996,1.2,3.2,0.365,5.5,11.6,0.479,1.6,2.8,0.58,1.5,6.8,8.2,15.9,2.7,0.2,5.3,3.3,16.3,105.0,107.0,Rajon Rondo
12,2016-17,30.0,CHI,NBA,PG,69.0,42.0,1843.0,6.3,15.3,0.408,1.4,3.6,0.376,4.9,11.7,0.418,0.8,1.4,0.6,2.0,7.7,9.7,12.6,2.7,0.3,4.6,3.9,14.7,98.0,105.0,Rajon Rondo
13,2017-18,31.0,NOP,NBA,PG,65.0,63.0,1705.0,6.5,13.8,0.46799999999999997,1.4,4.2,0.33299999999999996,5.1,9.6,0.526,0.7,1.3,0.5429999999999999,0.9,6.5,7.4,14.9,2.0,0.3,4.2,3.3,15.0,109.0,109.0,Rajon Rondo
14,2018-19,32.0,LAL,NBA,PG,46.0,29.0,1369.0,5.9,14.7,0.405,1.7,4.8,0.359,4.2,9.9,0.428,0.8,1.2,0.639,1.2,7.1,8.3,12.5,1.9,0.2,4.3,3.4,14.4,100.0,110.0,Rajon Rondo
15,2019-20,33.0,LAL,NBA,PG,48.0,3.0,984.0,6.6,15.8,0.418,2.0,6.0,0.32799999999999996,4.6,9.8,0.473,1.3,2.0,0.659,1.1,5.8,6.9,11.6,1.9,0.1,4.4,2.8,16.5,103.0,108.0,Rajon Rondo
16,2020-21,34.0,ATL,NBA,PG,20.0,2.0,300.0,4.7,12.1,0.392,2.1,5.5,0.382,2.6,6.5,0.4,0.2,0.3,0.5,0.7,6.5,7.2,11.4,2.0,0.3,4.4,2.9,11.7,100.0,114.0,Rajon Rondo
0,2019-20,22.0,ATL,NBA,SF,63.0,62.0,2018.0,6.5,15.8,0.41,2.5,7.0,0.355,4.0,8.8,0.45399999999999996,2.5,3.3,0.764,1.0,5.6,6.6,2.6,1.0,0.4,2.4,4.2,18.0,100.0,117.0,De'Andre Hunter
1,2020-21,23.0,ATL,NBA,SF,18.0,18.0,579.0,9.1,17.7,0.514,2.5,6.9,0.366,6.6,10.8,0.609,5.4,6.2,0.877,1.4,6.8,8.2,3.4,1.4,0.8,2.1,4.0,26.2,125.0,114.0,De'Andre Hunter
0,2019-20,21.0,ATL,NBA,C,56.0,13.0,713.0,6.7,13.0,0.518,0.3,2.4,0.135,6.4,10.6,0.605,1.9,3.3,0.569,4.4,8.6,12.9,3.2,1.2,1.1,2.7,7.0,15.7,107.0,114.0,Bruno Fernando
1,2020-21,22.0,ATL,NBA,C,18.0,0.0,151.0,3.6,8.1,0.44,0.0,0.6,0.0,3.6,7.4,0.478,2.9,4.9,0.6,4.2,15.2,19.4,2.9,0.6,0.6,4.9,5.5,10.0,88.0,111.0,Bruno Fernando
0,2020-21,23.0,ATL,NBA,SG,16.0,0.0,132.0,7.0,18.2,0.38799999999999996,3.0,8.5,0.348,4.1,9.6,0.423,5.9,6.7,0.889,2.2,2.2,4.4,6.7,2.2,0.0,1.5,2.2,23.0,123.0,116.0,Skylar Mays
0,2020-21,20.0,ATL,NBA,C,16.0,1.0,159.0,6.5,11.4,0.568,0.0,0.3,0.0,6.5,11.1,0.583,2.8,4.6,0.6,3.7,8.3,12.0,1.5,1.8,2.2,2.5,8.0,15.7,111.0,110.0,Onyeka Okongwu
0,2017-18,25.0,SAC,NBA,SG,78.0,53.0,2175.0,8.0,18.0,0.446,3.0,7.7,0.392,5.0,10.3,0.485,2.3,2.8,0.84,0.7,4.5,5.2,6.0,1.7,0.4,2.9,4.0,21.3,107.0,113.0,Bogdan Bogdanović
1,2018-19,26.0,SAC,NBA,SG,70.0,17.0,1947.0,8.6,20.6,0.418,3.2,8.9,0.36,5.4,11.7,0.462,3.2,3.9,0.8270000000000001,1.0,4.9,5.8,6.4,1.7,0.4,2.8,3.4,23.7,107.0,113.0,Bogdan Bogdanović
2,2019-20,27.0,SAC,NBA,SG,61.0,28.0,1766.0,9.3,21.0,0.44,4.5,12.1,0.37200000000000005,4.8,8.9,0.532,2.4,3.2,0.741,0.7,5.0,5.7,5.7,1.8,0.4,2.8,3.7,25.4,110.0,113.0,Bogdan Bogdanović
3,2020-21,28.0,ATL,NBA,SG,11.0,2.0,249.0,6.9,17.9,0.385,4.5,13.2,0.34299999999999997,2.4,4.7,0.5,2.0,2.2,0.909,0.4,7.1,7.5,4.7,0.8,0.4,2.6,4.1,20.2,106.0,116.0,Bogdan Bogdanović
0,2020-21,23.0,ATL,NBA,PF,10.0,0.0,58.0,7.6,19.4,0.391,2.5,7.6,0.33299999999999996,5.1,11.8,0.429,5.9,6.7,0.875,6.7,5.9,12.6,0.8,1.7,2.5,4.2,5.9,23.6,104.0,112.0,Nathan Knight
0,2016-17,22.0,MIN,NBA,PG,78.0,7.0,1333.0,4.5,11.9,0.377,0.8,2.8,0.28800000000000003,3.7,9.1,0.40399999999999997,1.4,2.2,0.61,0.9,5.4,6.3,7.2,3.0,1.4,3.4,6.8,11.1,90.0,109.0,Kris Dunn
1,2017-18,23.0,CHI,NBA,PG,52.0,43.0,1525.0,9.2,21.3,0.429,1.4,4.3,0.321,7.8,17.0,0.457,2.7,3.6,0.737,0.8,6.3,7.1,9.9,3.3,0.9,4.8,5.6,22.4,96.0,107.0,Kris Dunn
2,2018-19,24.0,CHI,NBA,PG,46.0,44.0,1389.0,7.5,17.7,0.425,1.2,3.4,0.354,6.3,14.3,0.441,1.9,2.4,0.797,0.7,5.9,6.5,9.7,2.4,0.7,3.6,5.8,18.1,99.0,112.0,Kris Dunn
3,2019-20,25.0,CHI,NBA,PG,51.0,32.0,1269.0,5.8,13.0,0.444,1.1,4.3,0.259,4.7,8.7,0.535,1.5,2.0,0.741,0.9,6.2,7.1,6.6,3.8,0.6,2.6,6.0,14.2,104.0,106.0,Kris Dunn
0,2017-18,25.0,BOS,NBA,C,63.0,3.0,936.0,6.7,12.4,0.541,1.0,3.1,0.31,5.8,9.3,0.617,3.3,4.3,0.753,4.8,9.8,14.6,3.0,1.6,2.6,3.0,8.4,17.7,117.0,100.0,Daniel Theis
1,2018-19,26.0,BOS,NBA,C,66.0,2.0,908.0,7.7,14.1,0.5489999999999999,1.4,3.6,0.38799999999999996,6.4,10.6,0.603,3.0,4.0,0.737,4.6,7.3,11.9,3.6,1.1,2.2,1.8,8.5,19.8,128.0,107.0,Daniel Theis
2,2019-20,27.0,BOS,NBA,C,65.0,64.0,1566.0,7.4,13.1,0.5660000000000001,1.0,3.0,0.33299999999999996,6.4,10.2,0.633,2.7,3.5,0.763,4.3,8.8,13.1,3.4,1.1,2.6,1.7,6.7,18.5,130.0,105.0,Daniel Theis
3,2020-21,28.0,BOS,NBA,C,34.0,29.0,827.0,7.3,13.0,0.564,1.6,4.3,0.37,5.7,8.7,0.66,2.4,3.6,0.667,2.5,7.5,10.1,2.7,1.2,2.3,2.1,5.8,18.7,123.0,112.0,Daniel Theis
0,2011-12,20.0,CLE,NBA,PF,60.0,25.0,1424.0,7.2,16.3,0.439,0.0,0.1,0.0,7.2,16.2,0.441,3.9,7.1,0.552,6.9,7.5,14.4,1.0,1.0,2.3,3.0,4.9,18.2,98.0,108.0,Tristan Thompson
1,2012-13,21.0,CLE,NBA,PF,82.0,82.0,2564.0,7.9,16.2,0.488,0.0,0.1,0.0,7.9,16.1,0.49,3.6,5.9,0.608,6.2,9.5,15.7,2.2,1.2,1.4,2.5,4.7,19.4,108.0,108.0,Tristan Thompson
2,2013-14,22.0,CLE,NBA,PF,82.0,82.0,2594.0,7.2,15.1,0.47700000000000004,0.0,0.0,0.0,7.2,15.1,0.478,4.7,6.7,0.693,5.3,9.6,15.0,1.4,0.8,0.7,2.1,3.7,19.1,110.0,108.0,Tristan Thompson
3,2014-15,23.0,CLE,NBA,PF,82.0,15.0,2194.0,6.3,11.6,0.547,0.0,0.0,,6.3,11.6,0.547,3.8,5.9,0.6409999999999999,6.5,9.1,15.6,0.9,0.8,1.4,2.0,4.5,16.4,121.0,106.0,Tristan Thompson
4,2015-16,24.0,CLE,NBA,PF,82.0,34.0,2269.0,5.6,9.5,0.588,0.0,0.0,,5.6,9.5,0.588,3.4,5.5,0.616,6.1,10.7,16.7,1.4,0.9,1.2,1.4,4.6,14.6,130.0,104.0,Tristan Thompson
5,2016-17,25.0,CLE,NBA,C,78.0,78.0,2336.0,5.6,9.3,0.6,0.0,0.1,0.0,5.6,9.3,0.604,2.3,4.6,0.498,6.1,9.2,15.3,1.6,0.8,1.8,1.4,3.8,13.5,128.0,109.0,Tristan Thompson
6,2017-18,26.0,CLE,NBA,C,53.0,22.0,1072.0,6.0,10.7,0.562,0.0,0.0,,6.0,10.7,0.562,2.0,3.6,0.544,5.8,10.3,16.1,1.5,0.7,0.8,1.6,4.7,14.0,120.0,112.0,Tristan Thompson
7,2018-19,27.0,CLE,NBA,C,43.0,40.0,1198.0,8.3,15.8,0.529,0.0,0.0,,8.3,15.8,0.529,2.8,4.4,0.642,7.2,11.0,18.2,3.6,1.2,0.7,2.4,3.7,19.5,117.0,116.0,Tristan Thompson
8,2019-20,28.0,CLE,NBA,PF,57.0,51.0,1721.0,8.1,15.9,0.512,0.3,0.7,0.391,7.9,15.2,0.518,2.8,4.6,0.615,6.4,9.9,16.3,3.4,0.9,1.4,2.9,3.5,19.3,112.0,114.0,Tristan Thompson
9,2020-21,29.0,BOS,NBA,PF,34.0,29.0,774.0,7.0,13.2,0.531,0.0,0.2,0.0,7.0,13.0,0.539,3.0,4.8,0.632,6.6,11.3,17.9,2.1,0.8,0.8,2.0,4.6,17.1,120.0,113.0,Tristan Thompson
